section,item,parameter,value,unit,notes
mission,,name,THOR-1,,
mission,,vehicle_class,lifting_body,,
mission,,max_g_load,4,g,top-level requirement
mission,,peak_heat_flux_W_cm2,800,W/cm2,top-level requirement
mission,,downmass_kg,500,kg,top-level requirement
mission,,crossrange_km,80,km,top-level requirement
mission,,EI_alt_m,122000,m,Entry Interface altitude
phase,ascent,duration_s,600,s,
phase,ascent,delta_v_m_s,0,m/s,
phase,ascent,power_wh,0,Wh,
phase,injection,duration_s,0,s,
phase,injection,delta_v_m_s,9500,m/s,launcher
phase,injection,power_wh,0,Wh,
phase,phasing,duration_s,86400,s,
phase,phasing,delta_v_m_s,15,m/s,
phase,phasing,power_wh,200,Wh,
phase,rendezvous,duration_s,3600,s,
phase,rendezvous,delta_v_m_s,45,m/s,
phase,rendezvous,power_wh,150,Wh,
phase,docking,duration_s,1800,s,
phase,docking,delta_v_m_s,5,m/s,
phase,docking,power_wh,100,Wh,
phase,loiter,duration_s,604800,s,
phase,loiter,delta_v_m_s,2,m/s,
phase,loiter,power_wh,500,Wh,
phase,deorbit,duration_s,600,s,
phase,deorbit,delta_v_m_s,100,m/s,
phase,deorbit,power_wh,80,Wh,
phase,entry_interface,duration_s,1,s,
phase,entry_interface,delta_v_m_s,0,m/s,
phase,entry_interface,power_wh,0,Wh,
phase,reentry,duration_s,900,s,
phase,reentry,delta_v_m_s,0,m/s,
phase,reentry,power_wh,50,Wh,
phase,landing,duration_s,600,s,
phase,landing,delta_v_m_s,0,m/s,
phase,landing,power_wh,30,Wh,
mass,_config,propellant_kg,600,kg,initial until propulsion loop
mass,_config,growth_allowance,0.30,frac,AIAA S-120 conceptual
mass,TPS,dry_kg,800,kg,
mass,Primary structure,dry_kg,1200,kg,
mass,Propulsion (dry),dry_kg,400,kg,
mass,Avionics / GNC,dry_kg,150,kg,
mass,Power / EPS,dry_kg,200,kg,
mass,Thermal,dry_kg,80,kg,
mass,Payload,dry_kg,500,kg,
mass,Margin reserve,dry_kg,0,kg,
delta_v,injection (launcher),delta_v_m_s,9500,m/s,
delta_v,injection (launcher),margin_frac,0,,
delta_v,phasing,delta_v_m_s,15,m/s,
delta_v,phasing,margin_frac,0.10,,
delta_v,rendezvous/braking,delta_v_m_s,45,m/s,
delta_v,rendezvous/braking,margin_frac,0.10,,
delta_v,station_keeping,delta_v_m_s,2,m/s,
delta_v,station_keeping,margin_frac,0.20,,
delta_v,deorbit,delta_v_m_s,100,m/s,
delta_v,deorbit,margin_frac,0.05,,
delta_v,RCS/dispersions,delta_v_m_s,20,m/s,
delta_v,RCS/dispersions,margin_frac,0.15,,
link,on_orbit,frequency_hz,2.2e9,Hz,
link,on_orbit,tx_power_W,10,W,
link,on_orbit,tx_gain_dBi,0,dBi,
link,on_orbit,rx_gain_dBi,30,dBi,
link,on_orbit,path_loss_dB,180,dB,
link,on_orbit,required_snr_dB,10,dB,
link,on_orbit,margin_dB,3,dB,
link,reentry,frequency_hz,2.2e9,Hz,
link,reentry,tx_power_W,10,W,
link,reentry,tx_gain_dBi,0,dBi,
link,reentry,rx_gain_dBi,30,dBi,
link,reentry,path_loss_dB,200,dB,
link,reentry,required_snr_dB,10,dB,
link,reentry,margin_dB,3,dB,
